Station,Postmile (Abs),Freeway,Direction,Minimum,Mean,Maximum,# Lane Points,% Observed
"993,103,209.00",266.54,15.00,N,0.00,186.87,"1,213.00",105396,98.10
"3,103,208.00",267.19,15.00,N,135.00,"2,605.04","6,648.00",421584,98.20
"993,103,208.00",267.19,15.00,N,0.00,186.10,"1,195.00",105396,98.10
"3,103,207.00",267.36,15.00,N,44.00,"2,588.64","6,563.00",421584,98.20
"993,103,207.00",267.36,15.00,N,0.00,195.10,"1,207.00",105396,98.10
"3,103,206.00",267.86,15.00,N,138.00,"2,606.54","6,593.00",421584,98.20
"993,103,206.00",267.86,15.00,N,0.00,201.46,"1,224.00",105396,98.10
"3,103,205.00",268.37,15.00,N,136.00,"2,560.09","6,467.00",421584,98.20
"993,103,205.00",268.37,15.00,N,0.00,193.35,"1,217.00",105396,97.80
"3,103,204.00",268.83,15.00,N,0.00,"2,160.04","5,387.00",421584,98.20
"23,103,204.00",268.83,15.00,N,0.00,435.41,"1,411.00",210792,98.20
"993,103,204.00",268.83,15.00,N,0.00,187.11,"1,237.00",105396,97.80
"13,103,203.00",269.29,15.00,N,0.00,"1,578.87","3,881.00",316188,79.70
"3,103,203.00",269.36,15.00,N,0.00,"2,165.02","5,470.00",421584,95.90
"33,103,203.00",269.36,15.00,N,0.00,796.44,"2,345.00",210792,96.10
"993,103,203.00",269.36,15.00,N,0.00,180.93,"1,410.00",105396,95.20
"3,103,168.00",269.83,15.00,N,1.00,"3,032.91","7,083.00",632376,98.20
"993,103,168.00",269.83,15.00,N,0.00,182.07,"1,287.00",105396,98.10
"3,103,167.00",270.42,15.00,N,0.00,"2,634.30","6,281.00",526980,98.20
"23,103,167.00",270.42,15.00,N,0.00,346.21,987.00,210792,98.20
"993,103,167.00",270.42,15.00,N,0.00,179.49,"1,196.00",105396,98.10
"13,103,165.00",270.85,15.00,N,0.00,609.70,"1,807.00",316188,80.50
"3,103,165.00",270.92,15.00,N,0.00,"2,409.83","6,135.00",526980,97.90
"33,103,165.00",270.92,15.00,N,0.00,477.69,"1,610.00",210792,98.00
"993,103,165.00",270.92,15.00,N,0.00,179.73,"1,136.00",105396,97.80
"3,103,163.00",271.44,15.00,N,54.00,"2,763.19","6,659.00",526980,96.10
"23,103,163.00",271.44,15.00,N,0.00,349.66,"1,137.00",210792,98.20
"993,103,163.00",271.44,15.00,N,0.00,178.64,"1,170.00",105396,94.90
"13,103,161.00",271.82,15.00,N,0.00,763.80,"2,080.00",316188,79.70
"3,103,161.00",271.90,15.00,N,59.00,"2,776.27","6,794.00",526980,95.80
"33,103,161.00",271.90,15.00,N,0.00,677.08,"1,910.00",210792,96.20
"993,103,161.00",271.90,15.00,N,0.00,197.64,"1,122.00",105396,95.60
"3,103,157.00",272.56,15.00,N,141.00,"3,116.03","7,754.00",526980,95.70
"23,103,157.00",272.56,15.00,N,0.00,334.22,"1,239.00",210792,96.10
"993,103,157.00",272.56,15.00,N,0.00,202.28,"1,123.00",105396,95.50
"3,103,155.00",273.04,15.00,N,135.00,"3,112.93","7,697.00",526980,95.60
"13,103,155.00",273.04,15.00,N,0.00,425.23,"1,521.00",316188,77.90
"993,103,155.00",273.04,15.00,N,0.00,213.97,"1,297.00",105396,95.20
"3,103,158.00",273.67,15.00,N,140.00,"3,431.79","8,822.00",526980,96.90
"993,103,158.00",273.67,15.00,N,0.00,214.65,"1,427.00",105396,97.00
"3,103,150.00",274.15,15.00,N,105.00,"3,323.65","8,845.00",526980,95.70
"993,103,147.00",274.15,15.00,N,0.00,212.44,"1,402.00",105396,90.80
"3,103,142.00",274.61,15.00,N,138.00,"3,446.00","8,844.00",526980,98.10
"993,103,142.00",274.61,15.00,N,0.00,222.49,"1,545.00",105396,97.80
"3,103,146.00",275.10,15.00,N,121.00,"2,962.25","7,756.00",526980,98.20
"23,103,146.00",275.10,15.00,N,0.00,462.12,"1,502.00",105396,98.20
"993,103,146.00",275.10,15.00,N,0.00,215.35,"1,473.00",105396,98.10
"3,103,140.00",275.60,15.00,N,44.00,"2,976.46","7,615.00",526980,97.90
"13,103,140.00",275.60,15.00,N,0.00,546.52,"1,552.00",210792,84.90
"993,103,140.00",275.60,15.00,N,0.00,225.44,"1,437.00",105396,97.80
"3,103,136.00",276.28,15.00,N,155.00,"3,124.05","8,066.00",526980,95.80
"23,103,136.00",276.28,15.00,N,0.00,361.89,"1,335.00",210792,95.80
"993,103,136.00",276.28,15.00,N,0.00,236.85,"1,513.00",105396,95.80
"3,103,134.00",276.75,15.00,N,127.00,"3,248.52","8,690.00",526980,97.80
"13,103,134.00",276.75,15.00,N,0.00,373.91,"1,265.00",210792,79.10
"993,103,134.00",276.75,15.00,N,0.00,283.20,"1,724.00",105396,97.50
"3,103,132.00",277.24,15.00,N,139.00,"3,321.70","8,895.00",526980,98.00
"993,103,132.00",277.24,15.00,N,0.00,231.87,"1,538.00",105396,97.90
"3,103,130.00",277.71,15.00,N,141.00,"3,380.88","9,112.00",526980,98.10
"993,103,130.00",277.71,15.00,N,0.00,236.01,"1,511.00",105396,97.80
"3,103,138.00",278.38,15.00,N,113.00,"2,633.43","6,611.00",421584,90.20
"993,103,138.00",278.38,15.00,N,0.00,257.46,"1,654.00",105396,91.00
799.00,278.69,15.00,N,111.00,"2,542.40","6,323.00",421584,97.80
"99,799.00",278.69,15.00,N,0.00,242.45,"1,529.00",105396,97.50
"1,799.00",278.80,15.00,N,0.00,333.46,"1,047.00",210792,69.60
"3,103,128.00",279.32,15.00,N,113.00,"2,490.76","5,906.00",421584,97.20
"23,103,128.00",279.32,15.00,N,0.00,709.55,"2,390.00",105396,95.10
"993,103,128.00",279.32,15.00,N,0.00,267.10,"1,646.00",105396,93.10
"3,103,126.00",279.47,15.00,N,110.00,"2,392.02","5,597.00",421584,94.40
"23,103,126.00",279.47,15.00,N,0.00,480.59,"1,788.00",210792,95.20
"993,103,126.00",279.47,15.00,N,0.00,257.69,"1,489.00",105396,87.00
"13,103,124.00",279.86,15.00,N,,,,210792,0.00
"3,103,124.00",279.97,15.00,N,160.00,"2,127.25","4,742.00",421584,0.00
"993,103,124.00",279.97,15.00,N,12.00,357.12,"1,100.00",105396,0.00
704.00,280.35,15.00,N,8.00,"2,406.68","6,999.00",421584,81.20
"99,704.00",280.35,15.00,N,0.00,409.70,"2,278.00",105396,71.70
706.00,281.12,15.00,N,19.00,"2,466.36","6,274.00",421584,96.80
"99,706.00",281.12,15.00,N,0.00,327.08,"1,715.00",105396,80.60
708.00,281.84,15.00,N,77.00,"2,156.94","5,059.00",421584,97.00
"2,708.00",281.84,15.00,N,0.00,351.61,"1,390.00",105396,98.20
"99,708.00",281.84,15.00,N,0.00,413.09,"1,714.00",105396,92.10
"3,709.00",282.55,15.00,N,,,,210792,0.00
709.00,282.74,15.00,N,14.00,"3,994.91","11,466.00",223772,71.70
"1,709.00",282.74,15.00,N,0.00,578.34,"2,188.00",102814,75.30
"99,709.00",282.74,15.00,N,0.00,297.99,"1,316.00",60479,64.20
710.00,283.21,15.00,N,0.00,782.44,"3,149.00",421584,0.00
"99,710.00",283.21,15.00,N,12.00,357.12,"1,100.00",105396,0.00
"6,000.00",283.70,15.00,N,11.00,"2,282.27","7,596.00",421584,72.50
"26,000.00",283.70,15.00,N,0.00,207.44,"2,170.00",105396,39.70
"996,000.00",283.70,15.00,N,0.00,466.97,"1,952.00",105396,65.50
715.00,284.01,15.00,N,10.00,"1,699.71","4,984.00",421584,64.00
"99,715.00",284.01,15.00,N,0.00,422.28,"1,717.00",105396,53.40
"1,716.00",284.28,15.00,N,0.00,878.22,"2,871.00",316188,31.90
"6,002.00",284.30,15.00,N,0.00,"2,036.82","7,596.00",421584,75.90
"16,002.00",284.30,15.00,N,0.00,738.61,"2,675.00",210792,82.60
"996,002.00",284.30,15.00,N,0.00,432.84,"1,952.00",105396,69.40
717.00,284.65,15.00,N,73.00,"2,888.15","7,435.00",526980,92.20
"99,717.00",284.65,15.00,N,0.00,442.62,"1,675.00",105396,81.00
"300,112.00",285.12,15.00,N,162.00,"3,145.52","7,448.00",526980,95.80
"99,300,112.00",285.12,15.00,N,0.00,375.96,"1,615.00",105396,95.80
"6,004.00",285.37,15.00,N,158.00,"3,065.08","7,303.00",526980,97.80
"996,004.00",285.37,15.00,N,0.00,349.77,"1,575.00",105396,97.70
"6,006.00",285.82,15.00,N,159.00,"3,200.47","8,105.00",526980,90.90
"996,006.00",285.82,15.00,N,0.00,347.15,"1,856.00",105396,86.60
"6,008.00",286.30,15.00,N,154.00,"3,342.75","8,783.00",526980,98.10
"996,008.00",286.30,15.00,N,0.00,371.88,"1,611.00",105396,98.10
719.00,286.64,15.00,N,156.00,"3,061.66","7,402.00",526980,98.20
"99,719.00",286.64,15.00,N,0.00,295.24,"1,403.00",105396,98.10
720.00,287.23,15.00,N,152.00,"3,055.89","7,257.00",526980,98.20
"99,720.00",287.23,15.00,N,0.00,290.48,"1,374.00",105396,97.80
361.00,287.60,15.00,N,150.00,"3,070.47","7,359.00",632376,98.20
"4,570.00",287.60,15.00,N,0.00,289.70,"1,396.00",105396,97.90
363.00,287.97,15.00,N,144.00,"2,799.76","6,609.00",526980,98.10
"2,363.00",287.97,15.00,N,0.00,265.58,"1,485.00",210792,98.10
"99,363.00",287.97,15.00,N,0.00,289.23,"1,379.00",105396,98.10
"6,010.00",288.27,15.00,N,127.00,"2,839.88","6,669.00",526980,97.70
"996,010.00",288.27,15.00,N,0.00,293.51,"1,370.00",105396,98.10
"3,364.00",288.49,15.00,N,0.00,247.65,"1,099.00",316188,47.50
364.00,288.54,15.00,N,141.00,"2,802.81","6,594.00",526980,98.00
"1,364.00",288.54,15.00,N,0.00,431.06,"1,546.00",210792,98.20
"99,364.00",288.54,15.00,N,0.00,281.51,"1,316.00",105396,97.80
365.00,288.84,15.00,N,152.00,"3,240.08","7,574.00",632376,97.50
"99,365.00",288.84,15.00,N,0.00,293.55,"1,372.00",105396,98.10
"6,012.00",289.09,15.00,N,149.00,"3,252.41","7,556.00",526980,97.70
"996,012.00",289.09,15.00,N,0.00,300.26,"1,451.00",105396,98.10
366.00,289.34,15.00,N,155.00,"3,256.97","8,056.00",526980,98.20
"99,366.00",289.34,15.00,N,0.00,202.53,"1,347.00",105396,97.20
368.00,289.53,15.00,N,133.00,"2,706.75","6,020.00",421584,98.00
"2,368.00",289.53,15.00,N,0.00,525.13,"1,871.00",210792,98.10
"4,564.00",289.53,15.00,N,0.00,286.71,"1,320.00",105396,97.80
"3,369.00",290.04,15.00,N,0.00,944.90,"2,552.00",316188,80.70
369.00,290.06,15.00,N,13.00,"2,601.40","5,836.00",421584,96.00
"1,369.00",290.06,15.00,N,0.00,864.95,"2,345.00",210792,96.10
"4,561.00",290.06,15.00,N,0.00,279.22,"1,421.00",105396,95.50
372.00,290.59,15.00,N,172.00,"3,631.55","7,906.00",526980,95.50
"99,372.00",290.59,15.00,N,0.00,330.29,"1,729.00",105396,97.50
"6,014.00",291.08,15.00,N,166.00,"3,206.36","7,023.00",421584,96.40
"26,014.00",291.08,15.00,N,0.00,445.01,"2,147.00",210792,97.70
"996,014.00",291.08,15.00,N,0.00,376.50,"1,834.00",105396,97.40
374.00,291.55,15.00,N,140.00,"3,230.14","7,012.00",421584,85.00
"99,374.00",291.55,15.00,N,0.00,437.80,"1,782.00",105396,75.20
"1,374.00",291.56,15.00,N,0.00,916.15,"2,699.00",316188,83.60
375.00,291.99,15.00,N,188.00,"3,781.71","7,948.00",526980,85.10
"4,556.00",291.99,15.00,N,0.00,376.82,"1,556.00",105396,85.20
377.00,292.32,15.00,N,7.00,"3,139.59","7,120.00",421584,40.10
"2,377.00",292.32,15.00,N,0.00,398.61,"1,975.00",273853,29.90
"4,554.00",292.32,15.00,N,0.00,361.02,"1,645.00",105396,40.00
"2,377.00",292.43,15.00,N,0.00,398.61,"1,975.00",273853,29.90
"1,378.00",292.62,15.00,N,0.00,726.93,"1,859.00",316188,66.30
379.00,292.98,15.00,N,154.00,"3,911.46","8,215.00",526980,94.60
"99,379.00",292.98,15.00,N,0.00,423.52,"2,528.00",105396,93.90
381.00,293.52,15.00,N,4.00,"3,468.64","7,226.00",421584,95.80
"99,381.00",293.52,15.00,N,0.00,424.63,"1,804.00",105396,97.30
"2,381.00",293.58,15.00,N,0.00,488.04,"1,889.00",421584,97.60
"1,382.00",293.83,15.00,N,0.00,532.38,"4,277.00",316188,55.00
384.00,294.17,15.00,N,208.00,"4,040.94","8,430.00",526980,71.40
"99,384.00",294.17,15.00,N,0.00,421.97,"1,716.00",105396,70.90
384.00,294.19,15.00,N,208.00,"4,040.94","8,430.00",526980,71.40
"99,384.00",294.19,15.00,N,0.00,421.97,"1,716.00",105396,70.90
386.00,294.77,15.00,N,66.00,"3,999.78","8,388.00",526980,73.40
"99,386.00",294.77,15.00,N,0.00,541.49,"2,422.00",105396,75.60
"2,388.00",295.42,15.00,N,0.00,498.18,"1,506.00",421584,37.60
388.00,295.51,15.00,N,95.00,"3,502.13","7,141.00",421584,49.80
"99,388.00",295.51,15.00,N,0.00,404.71,"1,605.00",105396,48.70
389.00,295.83,15.00,N,37.00,"3,507.64","7,958.00",421584,93.90
"3,389.00",295.83,15.00,N,5.00,625.91,"2,258.00",421584,83.10
"99,389.00",295.83,15.00,N,0.00,483.04,"2,528.00",105396,97.30
"1,389.00",295.85,15.00,N,0.00,"1,424.89","3,568.00",210792,80.30
391.00,296.35,15.00,N,241.00,"4,345.71","9,393.00",526980,55.60
"99,391.00",296.35,15.00,N,0.00,419.13,"1,861.00",105396,56.90
393.00,296.86,15.00,N,239.00,"4,301.26","9,450.00",526980,67.90
"99,393.00",296.86,15.00,N,0.00,384.51,"1,680.00",105396,67.50
395.00,297.53,15.00,N,247.00,"3,771.24","8,767.00",526980,53.20
"2,395.00",297.53,15.00,N,0.00,464.55,"2,192.00",105396,79.70
"99,395.00",297.53,15.00,N,0.00,395.09,"1,326.00",105396,33.90
"6,100.00",297.63,15.00,N,128.00,"3,279.92","6,856.00",169340,94.60
"26,100.00",297.63,15.00,N,0.00,677.16,"1,538.00",42335,79.60
"996,100.00",297.63,15.00,N,0.00,410.01,"1,654.00",42335,94.60
396.00,297.82,15.00,N,235.00,"2,786.58","6,126.00",421584,0.00
"99,396.00",297.82,15.00,N,12.00,357.12,"1,100.00",105396,0.00
"2,397.00",298.15,15.00,N,0.00,345.08,957.00,105396,81.70
"3,397.00",298.15,15.00,N,5.00,"1,540.73","3,776.00",210792,88.60
398.00,298.24,15.00,N,140.00,"2,598.94","5,914.00",421584,98.10
"1,398.00",298.24,15.00,N,0.00,404.22,"1,254.00",105396,98.20
"99,398.00",298.24,15.00,N,0.00,381.79,"1,787.00",105396,98.10
"1,397.00",298.25,15.00,N,0.00,468.39,"1,253.00",210792,80.50
"23,399.00",298.60,15.00,N,0.00,853.20,"2,532.00",210792,98.20
"43,399.00",298.60,15.00,N,3.00,970.37,"2,528.00",210792,98.20
399.00,298.72,15.00,N,161.00,"2,986.50","6,993.00",421584,97.80
"99,399.00",298.72,15.00,N,0.00,339.86,"1,468.00",105396,95.50
400.00,299.08,15.00,N,174.00,"3,181.43","7,612.00",421584,98.00
"99,400.00",299.08,15.00,N,0.00,350.50,"1,524.00",105396,98.00
400.00,299.10,15.00,N,174.00,"3,181.43","7,612.00",421584,98.00
"99,400.00",299.10,15.00,N,0.00,350.50,"1,524.00",105396,98.00
"1,400.00",299.16,15.00,N,0.00,595.83,"1,984.00",210792,96.40
401.00,299.68,15.00,N,188.00,"3,759.42","8,151.00",526980,67.50
"99,401.00",299.68,15.00,N,0.00,377.54,"1,506.00",105396,67.50
403.00,299.94,15.00,N,182.00,"3,340.59","8,102.00",421584,68.30
"2,403.00",299.94,15.00,N,5.00,492.02,"1,552.00",210792,68.60
"99,403.00",299.94,15.00,N,0.00,333.02,"1,501.00",105396,68.00
"1,405.00",300.61,15.00,N,,,,210792,0.00
406.00,300.63,15.00,N,168.00,"3,305.41","8,028.00",421584,92.00
"1,406.00",300.63,15.00,N,0.00,496.95,"1,399.00",210792,92.20
"99,406.00",300.63,15.00,N,0.00,304.83,"1,509.00",105396,92.10
407.00,300.99,15.00,N,200.00,"3,800.25","9,068.00",526980,98.20
"99,407.00",300.99,15.00,N,0.00,304.73,"1,492.00",105396,98.00
409.00,301.50,15.00,N,176.00,"3,208.74","7,703.00",421584,95.80
"2,409.00",301.50,15.00,N,0.00,553.42,"2,078.00",210792,95.80
"99,409.00",301.50,15.00,N,0.00,299.61,"1,470.00",105396,95.60
"1,410.00",301.87,15.00,N,,,,316188,0.00
411.00,301.93,15.00,N,175.00,"3,233.50","7,773.00",421584,92.80
"1,411.00",301.93,15.00,N,5.00,485.66,"1,213.00",210792,93.80
"99,411.00",301.93,15.00,N,0.00,306.28,"1,459.00",105396,93.70
412.00,302.26,15.00,N,212.00,"3,745.53","8,962.00",526980,95.50
"99,412.00",302.26,15.00,N,0.00,301.61,"1,466.00",105396,95.40
414.00,302.75,15.00,N,215.00,"3,735.67","8,936.00",526980,95.40
"99,414.00",302.75,15.00,N,0.00,300.45,"1,444.00",105396,95.10
416.00,303.22,15.00,N,183.00,"3,255.23","7,625.00",421584,93.30
"2,416.00",303.22,15.00,N,0.00,136.54,328.00,36288,48.10
"99,416.00",303.22,15.00,N,0.00,97.82,767.00,105396,93.50
419.00,303.61,15.00,N,2.00,"3,293.37","7,885.00",421584,96.40
"99,419.00",303.61,15.00,N,0.00,307.96,"1,487.00",105396,89.30
"1,418.00",303.63,15.00,N,,,,210792,0.00
420.00,304.00,15.00,N,0.00,"3,386.87","8,528.00",526980,85.90
"99,420.00",304.00,15.00,N,0.00,242.09,"1,490.00",105396,87.30
"4,422.00",304.50,15.00,N,0.00,610.73,"1,679.00",210792,92.00
422.00,304.53,15.00,N,87.00,"2,197.04","5,352.00",316188,98.20
"3,422.00",304.53,15.00,N,0.00,548.71,"1,426.00",105396,98.20
"99,422.00",304.53,15.00,N,0.00,286.58,"1,490.00",105396,98.10
424.00,304.88,15.00,N,158.00,"2,684.91","6,157.00",316188,92.50
"1,424.00",304.88,15.00,N,11.00,976.76,"2,810.00",316188,92.50
"99,424.00",304.88,15.00,N,0.00,375.93,"2,009.00",105396,92.50
426.00,305.59,15.00,N,152.00,"2,754.41","6,206.00",421584,98.10
"3,425.00",305.59,15.00,N,5.00,"1,330.65","5,019.00",421584,98.20
"4,425.00",305.59,15.00,N,0.00,281.87,893.00,105396,98.20
"99,426.00",305.59,15.00,N,0.00,260.79,"1,302.00",105396,98.10
428.00,306.14,15.00,N,176.00,"3,074.37","7,073.00",421584,97.40
"1,428.00",306.14,15.00,N,0.00,330.84,"1,560.00",105396,97.60
"2,428.00",306.14,15.00,N,3.00,466.28,"2,562.00",316188,87.00
"3,428.00",306.14,15.00,N,0.00,448.03,"1,260.00",210792,95.30
"99,428.00",306.14,15.00,N,0.00,265.01,"1,347.00",105396,97.20
430.00,306.38,15.00,N,192.00,"3,335.01","7,724.00",421584,97.60
"99,430.00",306.38,15.00,N,0.00,311.92,"1,727.00",105396,97.60
"1,431.00",306.51,15.00,N,0.00,187.26,742.00,210792,58.90
"91,431.00",306.51,15.00,N,0.00,15.81,88.00,105396,44.00
432.00,307.24,15.00,N,171.00,"2,835.46","6,582.00",421584,94.30
"2,432.00",307.24,15.00,N,10.00,825.96,"3,541.00",316188,94.50
"99,432.00",307.24,15.00,N,2.00,327.30,"1,767.00",105396,94.20
"2,433.00",307.61,15.00,N,0.00,112.62,837.00,105396,57.00
"3,433.00",307.64,15.00,N,0.00,778.12,"2,197.00",210792,96.80
434.00,307.74,15.00,N,101.00,"2,065.25","5,174.00",316188,97.70
"99,434.00",307.74,15.00,N,0.00,240.40,"1,349.00",105396,97.60
"1,434.00",307.92,15.00,N,0.00,374.80,"1,374.00",210792,89.60
436.00,308.60,15.00,N,139.00,"2,551.93","6,614.00",421584,91.70
"99,436.00",308.60,15.00,N,0.00,249.23,"1,432.00",105396,91.60
438.00,309.18,15.00,N,104.00,"1,946.79","5,083.00",316188,67.30
"99,438.00",309.18,15.00,N,0.00,288.59,"1,654.00",105396,67.20
"3,439.00",309.45,15.00,N,0.00,176.16,949.00,105396,48.70
439.00,309.47,15.00,N,77.00,"2,000.34","5,095.00",316188,97.00
"1,439.00",309.47,15.00,N,0.00,146.02,994.00,105396,96.90
"99,439.00",309.47,15.00,N,0.00,259.08,"1,470.00",105396,96.80
